meeting_date,meeting_body,display_date,agenda_url,proceedings_display_date,pdf_url,video_url
2026-05-07,City Council,"May 7, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5987,"May 7, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4807/Council-Proceedings_0507.pdf,https://youtube.com/watch?v=E5hYG2nPinI
2026-04-23,City Council,"Apr 23, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5954,"Apr 23, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4781/Council-Proceedings-0423.pdf,https://youtube.com/watch?v=bMFqyVi0FC0
2026-04-22,City Council,"Apr 22, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5940,"Apr 22, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4767/Council-Proceedings-Adjourned-042226.pdf,https://youtube.com/watch?v=Qu05xnYZZqs
2026-04-09,City Council,"Apr 9, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5914,"Apr 9, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4748/Council-Proceedings-0409.pdf,https://youtube.com/watch?v=rwMHeiUUoDs
2026-04-08,City Council,"Apr 8, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5892,"Apr 8, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4738/Council-Proceedings-Adjourned-040826.pdf,https://youtube.com/watch?v=OiB7t5rAltU
2026-03-26,City Council,"Mar 26, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5889,"Mar 26, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4726/Council-Proceedings_032626.pdf,https://youtube.com/watch?v=mcw1ac-ldkM
2026-03-05,City Council,"Mar 5, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5860,"Mar 5, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4697/Council-Proceedings-030526.pdf,https://youtube.com/watch?v=K_TJDaLUjuo
2026-02-19,City Council,"Feb 19, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5840,"Feb 19, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4684/Council-Proceedings-021926.pdf,https://youtube.com/watch?v=vNI190syWdg
2026-02-05,City Council,"Feb 5, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5823,"Feb 5, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4668/Council-Proceedings-020526.pdf,https://youtube.com/watch?v=0PvI9zQa7gA
2026-01-15,City Council,"Jan 15, 2026",https://lims.minneapolismn.gov/MarkedAgenda/Council/5782,"Jan 15, 2026",https://lims.minneapolismn.gov/Download/CommitteeReport/4646/Council-Proceedings-011526.pdf,https://youtube.com/watch?v=XUzPrAFYrvY
2025-12-16,City Council,"Dec 16, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5756,"Dec 16, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4638/Council-Proceedings-Adjourned-121625.pdf,https://youtube.com/watch?v=oOET9c2qgF8
2025-12-11,City Council,"Dec 11, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5734,"Dec 11, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4627/Council-Proceedings-121125.pdf,https://youtube.com/watch?v=zDe6nkDDtS4
2025-12-09,City Council,"Dec 9, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5743,"Dec 9, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4628/Council-Proceedings-Adjourned-120925.pdf,https://youtube.com/watch?v=0EugghhFsno
2025-11-20,City Council,"Nov 20, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5718,"Nov 20, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4609/Council-Proceedings-112025.pdf,https://youtube.com/watch?v=BYOYrtD5m34
2025-11-06,City Council,"Nov 6, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5701,"Nov 6, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4591/Council-Proceedings-110625.pdf,https://youtube.com/watch?v=3jGTALjG4Cg
2025-10-16,City Council,"Oct 16, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5654,"Oct 16, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4576/Council-Proceedings-101625.pdf,https://youtube.com/watch?v=3-5G7fGbOjg
2025-10-02,City Council,"Oct 2, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5637,"Oct 2, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4556/Council-Proceedings-100225.pdf,https://youtube.com/watch?v=h3_cMEc590Q
2025-09-18,City Council,"Sep 18, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5605,"Sep 18, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4541/Council-Proceedings-091825.pdf,https://youtube.com/watch?v=m9b82JmpEaU
2025-09-04,City Council,"Sep 4, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5558,"Sep 4, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4521/Council-Proceedings-090425.pdf,https://youtube.com/watch?v=Dv0s0t1EVCs
2025-08-28,City Council,"Aug 28, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5557,"Aug 28, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4508/Council-Proceedings-082825.pdf,https://youtube.com/watch?v=mcRPOa62mLU
2025-08-27,City Council,"Aug 27, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5540,,,https://youtube.com/watch?v=Nf2dv2M00Jo
2025-08-14,City Council,"Aug 14, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5487,"Aug 14, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4490/Council-Proceedings-081425.pdf,https://youtube.com/watch?v=QmI6k-zqiL4
2025-07-24,City Council,"Jul 24, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5458,"Jul 24, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4476/Council-Proceedings-072425.pdf,https://youtube.com/watch?v=LHEKPVDX7HE
2025-07-10,City Council,"Jul 10, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5440,"Jul 10, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4455/Council-Proceedings-071025.pdf,https://youtube.com/watch?v=NA7QpSgs99Y
2025-06-12,City Council,"Jun 12, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5402,"Jun 12, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4434/Council-Proceedings-061225.pdf,https://youtube.com/watch?v=s7qbpUTgUFE
2025-05-29,City Council,"May 29, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5361,"May 29, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4417/Council-Proceedings-052925.pdf,https://youtube.com/watch?v=_f6OO6VMEZ0
2025-05-15,City Council,"May 15, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5309,"May 15, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4401/Council-Proceedings-051525.pdf,https://youtube.com/watch?v=fuD5y9v7SNA
2025-05-01,City Council,"May 1, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5293,"May 1, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4383/Council-Proceedings-050125.pdf,https://youtube.com/watch?v=nHBN8vn9YuQ
2025-04-17,City Council,"Apr 17, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5274,"Apr 17, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4367/Council-Proceedings-041725.pdf,https://youtube.com/watch?v=zuG68MqCwuU
2025-04-03,City Council,"Apr 3, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5260,"Apr 3, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4355/Council-Proceedings-040325.pdf,https://youtube.com/watch?v=MjthSowDa7M
2025-03-13,City Council,"Mar 13, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5236,"Mar 13, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4327/Council-Proceedings-031325.pdf,https://youtube.com/watch?v=DqcB2ucqBaM
2025-02-27,City Council,"Feb 27, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5220,"Feb 27, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4311/Council-Proceedings-022725.pdf,https://youtube.com/watch?v=ON8M6cCvrb4
2025-02-13,City Council,"Feb 13, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5199,"Feb 13, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4294/Council-Proceedings-021325.pdf,https://youtube.com/watch?v=CIPMJEXCJQ4
2025-02-06,City Council,"Feb 6, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5175,"Feb 6, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4278/Council-Proceedings-020625.pdf,https://youtube.com/watch?v=ewyoSL8lcIg
2025-01-30,City Council,"Jan 30, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5165,"Jan 30, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4264/Council-Proceedings-013025.pdf,https://youtube.com/watch?v=50t-YrGaU9Q
2025-01-24,City Council,"Jan 24, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5166,"Jan 24, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4256/Council-Proceedings-012425.pdf,https://youtube.com/watch?v=XdQ_6uZNPng
2025-01-16,City Council,"Jan 16, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5120,"Jan 16, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4239/Council-Proceedings-011625.pdf,https://youtube.com/watch?v=l4Ydn9WS66I
2025-01-06,City Council,"Jan 6, 2025",https://lims.minneapolismn.gov/MarkedAgenda/Council/5129,"Jan 6, 2025",https://lims.minneapolismn.gov/Download/CommitteeReport/4224/Council-Proceedings-010625.pdf,https://youtube.com/watch?v=9IHzCGUS9eo
